,SOURCE_ID,mag_abs,v_tan,l,b,g_rp
36,3293818223259506304,9.37877297553452,105.6481184840443,185.92931268515693,-23.796142579247178,1.109787
37,3293819215396280192,9.687299618186078,119.16775789508806,185.88762019019936,-23.815332448811077,1.1504097
43,3293825129566916992,8.788501145020327,156.05108424965064,187.64092935493156,-23.29759024344343,1.0834503
89,3293864157934057728,8.47569607902961,130.80321883668202,187.69723749262195,-22.638987304099008,1.0284519
120,3293880066492881024,9.660731025784198,128.14905149971722,187.3017460658684,-22.80326124365532,1.0918999
135,3293884159597447680,8.480458940819169,132.55847812959138,187.4162309331887,-22.5544124153417,0.9890652
331,3293964011629436288,9.979689018766262,103.76947408236664,187.60000235067832,-22.25874988317847,1.2794876
437,3295481131516686208,10.627704723597404,102.67633954102641,187.49214374801946,-18.022628545934243,1.1765461
524,3295508889890672896,8.6929929062972,136.3459714563569,187.1433631730027,-17.86125498065216,0.9976711
549,3294052591034736896,8.48154999316128,275.5007425607388,186.83236278213107,-22.45622461459948,1.0428925
566,3289711684769194368,9.539449716216602,102.22244259403747,189.89393397211904,-22.22590685613951,1.2502975
625,3292194205929775488,9.20582241607626,105.55298905247989,189.53348461921817,-24.070605538308524,1.0898876
636,3292197817998438656,10.844080753849155,100.61879688700694,189.43520903530728,-24.07957768059273,1.223074
662,3294083927116141312,8.821515886728761,116.24720643095971,186.8754592773352,-21.679112670966006,1.0252981
712,3292225821185161728,10.354362681821502,136.5835511301179,188.96107160412078,-24.844219569171766,1.1598902
736,3292233857067195648,9.393848259024782,194.58743221528889,188.96804756990176,-24.70856529894472,1.1075611
783,3295605651209167488,8.78451827088655,100.40600378462746,186.61134301688608,-21.50713107853688,1.1517143
791,3294135840385076352,10.318120629640632,152.93714425111557,186.31861889575111,-23.283927359758536,1.205389
822,3292269900433776896,9.025740671303652,116.26079992946443,188.98628812895674,-24.098332024358246,0.9943619
826,3294147488336428032,9.230265494887163,108.04472000116199,186.64324854977832,-22.79224075808061,1.1241302
835,3295618055074801024,7.7713577616201945,105.38756395181179,186.95382519574275,-21.00260793841239,1.0202122
841,3292280040851263872,9.817617254418277,145.45791580456995,189.5973554989899,-23.726134565626705,1.1161213
902,3289822288767126528,11.175744668130026,178.4739501284634,189.91467385950423,-21.441470731779035,1.2113104
929,3294187212489822080,9.901856013537252,103.54230282348156,186.04478901657774,-23.413525360818273,1.1592159
982,3294196420899716096,11.23655412085526,102.39846586348953,185.9088939182278,-23.578589855560622,1.2581024
1026,3295666089989962624,9.677422257637883,115.71744100679295,187.24408769972456,-20.205534268639056,1.1394157
1105,3292364630232302080,9.963063317676315,110.88714065379335,188.9546364082207,-23.9718786764389,1.1832838
1139,3292378584582107392,8.15927981769255,101.74168918312486,189.25428742727107,-23.3743147030112,0.99342346
1143,3292380160833571840,10.738755509222266,101.58322186787196,189.23253512754656,-23.347134606083934,1.2253342
1148,3289871109659666688,10.02124781708379,156.0636038243936,189.6960158252109,-21.219161048514643,1.2176628
1275,3292434865834410240,10.143911424725175,130.20696304679595,188.58359756045067,-25.027098387498807,1.095459
1282,3292437236655180672,8.155569403367092,110.15135991042999,188.55195996267776,-24.86766652868711,0.9428129
